word,raw_frequency
oppose,26
exécutées,10
hégémonique,1
habiter,2
habites,1
fâché,2
opacité,5
reprend,11
craignant,1
luzerne,1
aberrant,2
poudre,6
assouplissement,1
parsèment,1
isère,2
provocation,11
disqualifié,4
préméditée,1
succ,2
ubiquité,3
immanent,1
rides,1
commodités,1
éducateurs,1
ratelier,1
réserverai,2
blasée,1
mammouth,3
différencier,1
morte,6
journalistique,1
surnom,3
inimité,1
blasés,2
cigarettes,1
contracte,1
trotskystes,3
trouvions,2
spécial,5
apportera,3
ventres,1
secrétariats,1
transmises,3
clément,1
inamical,1
révoltante,1
présentez,2
origine,127
mises,23
nucléaire,50
douanière,2
miser,5
décisions,69
opposé,19
coranique,1
déroulement,5
système,509
cotisants,5
ahurissante,1
militer,1
placent,3
fâche,1
palma,1
désemparée,1
aspirez,2
absolues,3
kerry,1
géopolitique,17
libertaire,6
disqualifie,1
boites,1
escargots,1
admettrait,1
samedi,3
collaboratrices,1
bananes,1
poutre,3
professeurs,16
plaignent,2
coutière,1
cupide,1
perdaient,1
persévéré,1
consentantes,2
rabatteurs,3
dévastateurs,3
nasser,1
malfrat,2
réindustrialisant,1
apportant,4
suite,80
contestons,1
ensuive,1
prestigieux,10
bétails,1
hydraulique,1
bruits,3
abattre,11
winston,1
subordonnant,1
désignons,1
boulimique,1
additionnait,1
prompteur,1
institutions,70
salir,4
remobilisation,1
inaliénable,1
accroches,1
être,7
illusoires,1
diplômés,4
point,174
fraternelle,11
souleva,1
guerriers,1
raisonné,7
poing,1
évocations,1
patiemment,5
radiophonique,2
conseillé,3
caisses,19
préservent,1
fiscalité,43
lorsque,143
hadopi,3
intangibilité,1
cannabis,2
privilégiées,1
doctorat,3
tension,6
prometteurs,1
boon,4
clientéliste,1
boom,3
saura,8
envisagé,6
marbre,7
remplie,5
aille,12
favoriser,25
slogan,19
monseigneur,1
tabassés,1
interneticides,1
lucre,2
remplit,8
dénationalisations,1
assoces,1
remplir,24
remplis,2
mondiales,10
avérée,1
adhérent,2
iota,1
pures,1
déperdition,1
cracherai,1
laiss,1
quimper,1
inconcevable,2
mazières,1
callais,1
signalerai,1
nomura,2
aperçu,20
siècles,92
sectaires,3
absolvent,1
figurent,5
bénéfices,22
rappellerai,7
soulevé,5
assujettissement,1
siérait,1
tranquille,8
relèvent,3
médiatisation,1
navire,5
éclairage,1
conseille,4
antique,3
signifiait,1
culs,2
secrètement,7
shangaï,1
constatent,4
envisage,10
ethiquement,1
pattes,1
présidais,2
présidait,1
baptisées,1
nunuche,1
pneumatique,1
paparazzis,1
améliorant,1
disparaîtrait,1
arrêt,28
restaurons,1
précipités,3
triplait,1
saluée,2
atteint,57
regroup,1
cercueil,4
capitalisme,30
occidental,2
woman,1
manquait,4
absences,1
immonde,9
brutus,3
avorter,1
malotrus,1
doublant,2
gibraltar,2
fédéralisme,16
piliers,12
surveillant,2
certain,507
dissès,1
supranationaux,1
mystère,2
bénéficierez,1
immoralité,4
soulagement,1
expliquait,8
arno,4
représentera,1
restaurant,5
extrayez,1
donnerait,4
approbation,6
souche,19
donnerais,2
diligenterai,1
quasiment,40
échanges,32
échanger,5
impérissable,4
enracine,1
empêcherai,1
mathématiquement,1
conjoints,1
fourni,12
comme,135
sourire,11
emploie,6
irais,7
irait,2
ressort,12
renoncent,6
invalidé,1
ministériels,9
emplois,171
bloque,3
refusait,2
permanences,2
irrégulièrement,1
trouble,5
garde,57
acier,9
parcourra,1
cloisonnement,1
chimiques,6
disponible,1
taires,1
promet,11
exercice,43
marginaux,2
pédagogique,4
professionnel,15
représentant,21
rattachée,3
occupaient,3
utopie,24
ined,1
diffusées,1
empoisonner,1
bourdin,44
fautifs,2
dubreuil,1
poursuivra,1
êtres,11
mitrailleuses,1
entourloupe,1
poursuivre,15
capacités,26
prêcheront,1
tchador,1
tolérance,14
enraciné,1
xviii,1
rempli,15
remboursés,5
mondiale,126
consolé,1
rappelle,173
modifiées,2
trouvent,44
safari,1
restitution,1
chichement,1
espoir,87
pacifistes,2
offrir,45
parfois,136
bloqué,5
déclinant,1
diabolique,3
boys,1
rachètent,1
séquestration,1
relayés,1
pronostics,2
plate,2
mystères,1
prioritaire,14
mineur,7
défausser,3
séculier,2
falcon,1
sandrine,2
assurent,8
limit,1
plats,1
agiront,2
annexion,5
paraissaient,1
fatalité,25
rétablies,3
rapprochent,1
chéquiers,2
attribuant,4
improvisation,4
complète,6
redirai,1
brossé,2
laver,1
navires,2
forêts,5
interrogeait,2
reparle,2
copinages,3
chacun,210
ariane,5
reconvertir,1
sérieuses,13
quotidiens,7
autistes,1
bloquant,1
intelligences,1
condé,1
craintes,7
chimie,1
colistiers,1
serments,1
planches,1
dépouillera,2
inquiétez,1
métropoles,2
inquiéter,10
parachutisme,3
franchissent,2
déployées,1
fusions,5
équiper,2
équipes,15
dédaigneuse,1
frappées,3
qaïda,7
ministère,79
affaibli,8
blanc,41
atlantique,16
chair,6
appela,2
vôtres,8
marginalisé,2
prétentions,2
cures,6
cocardier,1
grincer,1
sète,3
courrier,8
trahiront,1
ultraréformistes,1
réconforter,1
périgueux,2
poignard,1
dénions,1
connaissance,33
amalgames,6
soustraites,1
refermant,1
brice,1
stupides,5
église,5
dicterait,2
taxis,3
sapeurs,4
mion,2
segments,1
visuel,1
potion,1
aspiraient,1
humeur,3
ramènent,1
saisissante,1
militants,87
commandes,3
chèche,1
abroge,1
mohdi,1
illustrait,1
audacieux,5
tester,2
drastiques,12
centrales,15
krugman,3
individuelles,16
anticonformiste,1
bénins,1
rentrée,13
bête,10
breton,9
définissent,3
rentrés,3
dreux,9
tron,6
salvatrices,5
laborieuse,1
opérationnels,2
inviolables,1
débattent,2
encourageons,1
réminiscences,1
noël,10
ayez,20
aboutissent,4
annulez,1
prenaient,2
sensibilités,8
existera,7
automobilistes,12
coulpe,7
parler,243
parles,1
niémen,1
parlez,52
turcophobes,1
entouré,5
ciotti,7
entêtement,1
appelaient,3
efforçant,1
flottants,1
naissent,4
gazettes,8
trépied,1
nient,2
grenouille,5
provient,2
déplorables,3
tardé,2
doctrinaire,1
flic,4
amenée,8
violettes,1
favori,1
inflexibles,1
idiote,1
leader,14
caches,1
nostalgiques,1
spiritualité,3
idiots,3
gorges,1
commises,2
amenés,10
entchernobyl,1
victimes,124
impopularité,3
pitié,13
automatique,25
stagnante,1
poitiers,2
inondent,1
convoquée,2
saccage,12
attentifs,6
intégralement,7
contractés,1
décrites,1
pensants,4
déguisaient,1
aménagé,1
messes,1
transactions,4
séance,9
marquée,8
entoure,4
contractée,1
marqués,1
amicales,1
souple,2
témoigner,11
gavroche,1
faciles,7
basculerait,1
pizzas,1
suppression,79
tourniquet,2
frelatés,1
catholiques,5
internationaliste,5
solidement,3
relation,19
régime,51
locaux,39
cohorte,4
limite,46
limita,1
atteler,6
préférerons,1
enfermer,9
envouté,1
fusent,1
conseillers,39
déclancher,1
enfermez,1
équilibré,2
pacifier,3
coïncidences,1
purement,29
réoxygéner,2
mato,1
mati,3
vérité,258
rejoint,17
invincible,1
silencieuse,8
coutume,6
1519,1
mats,1
contingentements,1
levons,1
catharsis,1
placards,1
places,63
placer,4
cambuse,1
récusé,2
désenchantement,1
croche,2
posait,7
conscription,4
restructurations,2
changeront,6
changerons,2
intrusion,2
abysses,2
luttions,1
négociable,2
délictogènes,1
arène,3
extrémismes,1
télégrammes,1
décor,8
fortement,14
terrifiant,7
aidant,3
limité,8
illusion,25
mythe,5
remplacée,9
croupion,2
postés,1
beauvais,1
démagogies,1
remplacés,4
colère,41
pommier,1
citer,24
démocrates,6
liens,20
insurrectionnel,2
puissions,12
croire,156
intérieures,11
brutale,6
béant,2
submergée,1
victimisation,4
obligez,1
obliger,14
cible,12
patriae,1
affronter,16
demanderai,15
accumulation,1
séjours,3
cœurs,8
couché,1
inouï,8
confirmer,4
mutation,5
exemple,349
contention,1
préoccupant,1
déchanter,1
préjugent,1
fiction,2
suivraient,1
richesses,25
alcide,1
gages,1
gager,1
embellie,1
étiquettes,12
contribuent,4
augias,1
trainé,5
gisants,1
explicitement,3
baser,1
bases,11
lozès,1
aspirent,9
particulièrement,106
atlanto,1
allonge,2
négocie,8
péan,3
actualité,21
réunionnais,2
réapprendre,1
conséquences,126
hystérie,11
concurrences,3
funeste,11
rang,48
prouvaient,2
concurrencer,5
passionnément,4
interprétée,2
remboursement,12
joyeuse,3
lotis,1
verve,1
rant,3
showbiz,2
décroche,1
marginale,2
agisse,15
divertit,1
paralysant,3
contradiction,19
viticole,7
farouchement,3
régression,25
copiné,1
fussent,5
technologies,4
marchandise,7
séides,2
phantasmatique,1
tournait,1
infondé,1
organiser,49
utiliser,28
arrivaient,3
résistaient,1
trains,6
soutenu,24
elever,3
déstabilisant,1
