measure,first,second,third
15.35962007847337,deuxième,liste,élections
13.9582575160916,deuxième,tour,élections
13.839016823548594,deuxième,liste,était
23.210217263374894,vivent,dessous,seuil
16.123685253204584,vivent,euros,mois
21.90621107648479,termine,professionnelle,vers
24.820714856203185,vite,rencontre,chinon
21.923572237146228,prix,essence,pompe
19.34480600238898,prix,nobel,économie
18.873443730917163,prix,peuvent,aboutir
21.852018976121194,retraités,chômeurs,exclus
24.060977954378323,mesures,immédiates,concrètes
16.44393327395339,mesures,prises,sarkozy
15.615536056977628,mesures,prendre,paris
15.817756038448902,humaine,reste,mois
27.464229539279465,instruire,éduquer,accroître
20.96510476553836,fardeau,obligation,dont
20.81183760287749,ciel,tombe,tête
25.74765139401346,bompard,bompard,bompard
25.672323016310514,ultra,libéralisme,mondialisé
15.275056653243865,élection,présidentielle,2002
13.922385034925394,élection,présidentielle,élection
12.902247389354315,élection,présidentielle,effet
11.109383019274233,élection,président,république
12.784623031401125,cadres,front,national
15.777687572608638,société,toute,entière
10.59586295088419,responsables,politiques,français
13.35353278745908,crise,économique,sociale
20.31548472291843,sera,épargné,échange
19.425667640668852,sera,chargé,adopter
15.97070395697725,sera,seul,refuser
15.89946252638499,sera,pire,jospin
13.659672862073798,européenne,commission,européenne
13.275002858201152,européenne,droits,homme
16.483870222847564,président,cour,comptes
16.299114416479465,président,conseil,constitutionnel
15.562148822313251,président,conseil,général
15.221388044787364,président,république,sortant
14.694755502848345,président,etats,unis
14.577531855012637,président,république,suffrage
14.513433537280221,président,groupe,socialiste
13.747456856454956,président,république,chef
12.216030015739694,président,assemblée,nationale
12.083543014338975,président,république,avez
11.940922777605323,président,pouvoir,achat
11.728880479474135,président,front,national
10.477395183727193,président,république,président
10.266464752757049,président,république,avait
10.162494355733795,président,république,française
10.123355961826839,président,république,était
7.956945444560763,président,république,bien
14.50429923756635,aucun,grands,problèmes
14.644579493270346,présidence,française,union
13.3741008500842,présidence,république,jamais
14.335074831962956,budget,union,européenne
18.80405125761924,système,bout,souffle
17.775735346274367,système,monétaire,international
16.804573135837234,système,protection,sociale
29.765573302010722,ignobles,calomnies,échappera
11.953696798274937,sert,plus,rien
19.053476250923186,1700,milliards,euros
9.731229326235393,volonté,peuple,français
27.891104184094583,compagnies,pétrolières,gazières
17.64868789019798,fort,etat,stratège
17.362357070917206,démontrons,paris,plus
20.843434932703268,rupture,contrat,préférence
13.147433747678871,ailleurs,etats,unis
12.826667868449476,ailleurs,raison,laquelle
10.873666088570651,ailleurs,certain,nombre
9.830768025052347,ailleurs,nicolas,sarkozy
8.797088746962835,ailleurs,voit,bien
7.459092699833569,ailleurs,front,national
7.0038240111392405,ailleurs,faut,dire
6.38998443312795,ailleurs,faut,bien
4.012353314114456,ailleurs,plus,plus
16.131647825175556,soient,leurs,origines
15.83208754331665,soient,leurs,opinions
20.82143065628777,utilisée,grand,patronat
12.5180649454649,êtes,train,dire
13.43208597432471,solidarité,nationale,travail
30.935498303453038,fureurs,révolutionnaires,caboche
24.53195362525103,cauchon,condamnée,mort
19.708675970305677,éducation,civique,morale
14.566776742393877,éducation,leurs,enfants
19.927630060119707,juridique,social,mère
23.909251530804852,portes,paris,blessée
12.790987023695916,folle,politique,immigration
14.036558056655831,peuple,amour,patrie
9.850015478685894,peuple,français,puisse
9.260216028976227,peuple,peuple,peuple
8.38862766308328,peuple,français,liberté
8.376945858035633,peuple,français,seul
8.196715848201592,peuple,français,droit
7.741678275466416,peuple,français,peuple
7.004712681300209,peuple,peuple,français
6.484607064885616,peuple,français,crois
6.455392817002462,peuple,français,faire
4.909778590618728,peuple,français,plus
18.496008269171533,pèse,baisse,salaires
17.742650712955093,forces,nationales,action
19.961352630677254,proche,moyen,orient
26.668711762758136,fausses,cartes,vitales
16.96622421596819,strictement,rien,voir
17.251955354170892,coûts,prix,peuvent
19.36705226537676,techniques,pourrait,croire
20.436617940229404,réarmer,face,mondialisation
15.15559239171412,autres,mouvements,politiques
12.619532395769657,autres,grands,candidats
12.358326287280104,autres,partis,politiques
11.397351593470095,autres,pays,européens
10.142227608009133,autres,certain,nombre
9.831836854977158,autres,pays,monde
20.908369830502558,professionnel,chacun,commencer
19.325627016274208,culture,nationale,érigé
20.198187574513693,zones,droit,multipliées
28.632174176593537,libère,orléans,écrase
22.61244354311139,mandelson,commissaire,européen
17.371397735652728,national,rassemblement,bleu
14.683927132537836,national,conseil,régional
13.898171747086398,national,union,patriotique
11.885528974020197,national,vive,république
11.224466852888334,national,assemblée,nationale
10.639745941382987,national,vive,france
9.014851292151679,national,front,national
8.250680941761676,national,veut,dire
22.071389558677573,furent,principes,objectifs
19.856026853283417,aide,médicale,etat
17.15033779017577,coûte,milliards,euros
8.659811740569374,coûte,plus,plus
15.93672278907604,relancer,pouvoir,achat
24.959184793994545,candidature,arabe,députation
15.931102252026513,candidature,élection,présidentielle
16.150909873701064,racisme,anti,français
10.511604536994714,intérieur,front,national
18.292476412936697,injuste,effort,hommes
20.469740606290806,trahisons,lâchetés,plus
16.039602378921206,voulez,faire,club
26.72117918265227,sordide,jugée,tribunal
17.41895800018899,principe,souveraineté,états
15.471710138175442,principe,préférence,nationale
25.09361950606105,compagnons,armes,connétable
12.888851199528482,enfin,chers,amis
11.730920473000257,enfin,veux,dire
23.405677356924343,écrasé,chevalerie,française
19.148073039620904,place,protectionnisme,intelligent
15.807147462325418,place,politique,dissuasive
