measure,first,second
4.272600549792772,contre,ensemble
3.8965571821297935,contre,candidats
3.8249583850820024,contre,immigration
3.037894867017471,contre,front
2.4425255512350876,contre,contre
10.897347916619793,referendum,initiative
6.530565585948171,défendre,nation
9.013418469454585,majorité,parlementaire
4.809885075369454,majorité,entre
2.7449296335286846,majorité,français
8.59541673029814,pouvoir,achat
5.039366921492222,pouvoir,permettre
3.092985274866539,pouvoir,faire
0.9341476094377228,pouvoir,bien
5.089992994562191,surtout,part
3.881223857089717,françaises,crois
3.610000053442576,françaises,français
10.975350428621066,maastricht,amsterdam
11.97535042862107,ségolène,royal
13.145275430063379,jeux,olympiques
9.975350428621066,jeux,faits
6.31555269497732,vais,demander
5.00281377154462,vais,dire
4.707870117756082,vais,donner
4.703368725521143,vais,mettre
2.05412933904951,vais,faire
9.835420167476592,coût,sortie
6.512280232920423,pays,arabes
5.357002007442512,pays,européens
5.289887811583974,pays,coût
4.868424043145694,pays,musulmans
4.868424043145694,pays,origine
4.512280232920421,pays,étranger
3.48253288952637,pays,européen
3.2574663338915997,pays,dont
3.1903521380330595,pays,monde
3.063819732104127,pays,situation
2.482532889526368,pays,mois
2.119962810141663,pays,europe
1.9783016609180706,pays,millions
1.9173336436266428,pays,écoutez
0.9887182768634091,pays,beaucoup
0.7727406950903877,pays,plus
0.6699298895066121,pays,faut
0.4678861135619705,pays,ailleurs
0.302826867291472,pays,suis
0.06602400303085787,pays,bien
-0.2156402216427793,pays,français
4.691490374567223,rend,plus
3.3482894813893207,pense,aura
3.2201846556416385,pense,faut
2.9229836466566503,pense,électeurs
2.709388173557361,pense,sera
2.6164855923388917,pense,problème
2.5468351607714013,pense,avez
2.106013635722327,pense,beaucoup
1.7702133662534045,pense,avons
1.6399445651628817,pense,pense
1.5797270423287735,pense,français
1.1646895430499313,pense,france
1.0981941312630248,pense,suis
1.005897283942243,pense,était
-0.06932196155334935,pense,plus
11.431029912397257,soigner,correctement
14.14527543006338,prélèvements,obligatoires
8.22244329058584,entendu,hier
5.66549516603428,mouvement,extrême
4.385387246841546,mouvement,mouvement
3.837676141416962,mouvement,politique
2.263396722462934,mouvement,suis
11.337920508005777,prendrais,acte
7.727422915177483,donne,leçons
8.22131132109592,partir,moment
10.479939512878202,tourner,vers
4.352756242601579,suffit,dire
10.299785379119003,double,nationalité
11.752958007284619,circonstances,exceptionnelles
8.115528086669329,banlieues,françaises
9.260855115258556,jacques,chirac
4.668529226123912,partie,entre
4.179491145401293,partie,peuple
4.62285736773863,dirigeants,front
14.560312929342224,chausse,trappes
9.015992413118411,population,mondiale
7.115528086669327,population,française
11.16038232245359,meilleur,allié
10.520784565155587,salaires,nets
9.520784565155587,salaires,manuels
3.685331581688448,courage,dire
7.188173388501093,politique,dissuasive
6.25528758435963,politique,menée
5.773135889222251,politique,incarne
5.603210887779937,politique,commissaire
4.965780967164646,politique,française
4.866245293613732,politique,unanimité
4.6646114324440795,politique,médiatique
4.487733670359999,politique,austérité
4.058890371556124,politique,vision
3.7287417698637952,politique,capable
3.297402458255851,politique,sociale
3.265341249023553,politique,économique
3.257436050938205,politique,fais
3.0452154346590508,politique,bureau
2.704357611236837,politique,immigration
2.3178086689176887,politique,gouvernement
2.090141305540566,politique,gauche
1.8935526396094637,politique,quelque
1.7958559657223336,politique,jamais
1.5063493485273476,politique,vrai
1.3164392383061951,politique,crois
1.1077999720370748,politique,autres
1.045215434659049,politique,certain
0.9852333298308196,politique,sarkozy
0.9787200228721424,politique,aujourd
0.935507956050845,politique,pense
0.7164981741090486,politique,était
0.6826453552743423,politique,français
0.6646114324440795,politique,beaucoup
0.5529994418261701,politique,politique
0.30961151595106884,politique,front
0.11939511051567919,politique,faire
-0.06921445419155958,politique,faut
-0.9950484355546756,politique,bien
11.219276011507159,impôt,revenu
9.674955495283346,service,militaire
9.57541982173243,service,public
6.9579233568628815,trouve,scandaleux
6.8323924747790254,trouve,profondément
5.925501879170504,trouve,assez
4.627278044874414,trouve,absolument
2.3693222790783803,trouve,pays
1.2341331514444107,trouve,bien
6.145745133808662,ecoutez,instant
4.509708448493237,ecoutez,sais
3.7285768470792373,ecoutez,crois
7.621713474006368,nationalité,française
7.013418469454585,identité,nationale
11.560312929342224,vieille,garde
3.183343470896899,souhaite,plus
2.5983809701757448,plutôt,plus
6.3497768656955635,obligé,aller
4.444228936578455,obligé,faire
6.668529226123912,ensemble,classe
3.8684240431456978,ensemble,pays
2.1885362850043,ensemble,français
5.154698683950006,bien,gentil
4.917659486649157,bien,évident
4.261613887866519,bien,ferais
4.154698683950006,bien,entendu
4.146793485864661,bien,souvent
3.3685290917830315,bien,évidemment
3.2071661038441377,bien,longtemps
3.2071661038441377,bien,normal
3.05516301039909,bien,chiffres
3.0078572956207363,bien,obligé
2.7921286045652955,bien,contraire
2.7141260925640243,bien,différence
2.7015260557843916,bien,compte
2.6401255111202477,bien,pris
2.611556358923478,bien,aurait
2.519110110158884,bien,écoutez
2.4840063092029645,bien,voir
2.1314663777122895,bien,dire
2.1103045645915515,bien,jour
2.05516301039909,bien,compris
2.0313162684447246,bien,fais
1.9847736825076918,bien,probablement
1.8566688567600096,bien,faut
1.7332349155117281,bien,raison
1.6766513871453625,bien,vais
1.676651387145359,bien,avais
1.6115563589234796,bien,moment
1.6045016013895257,bien,êtes
1.454258965808915,bien,prendre
1.4463537677235685,bien,pense
1.3658638498631959,bien,voilà
1.2423225492577572,bien,crois
1.2341331514444107,bien,trouve
1.1938692812306826,bien,sera
1.1165635550632338,bien,sais
1.0916888864242047,bien,gouvernement
0.9341476094377228,bien,gens
0.9046033338237081,bien,suis
0.7117551881012751,bien,autres
0.6952670653127058,bien,vrai
0.6859292007333728,bien,problème
0.5904947433956487,bien,beaucoup
0.5697361832288479,bien,sommes
0.4903783916155646,bien,était
0.3326969859280027,bien,ailleurs
0.16763773965750062,bien,aujourd
-0.09322882949357947,bien,avait
-0.10672467197780122,bien,faire
-0.35082934927674714,bien,france
-0.35082934927674714,bien,français
-0.36244843254358017,bien,plus
-0.5014707672635694,bien,front
-0.8061307187693174,bien,bien
12.882241024229586,trafic,drogues
4.7921286045652955,comprends,bien
8.23893141337441,modèle,économique
7.226412192788786,prennent,leurs
12.27080631214724,réguler,flux
5.115988203095133,chirac,jospin
3.42567270222775,chirac,était
3.2571029803974483,chirac,avait
1.855688764982581,chirac,crois
1.8285696386343808,chirac,faire
12.922883008726933,chambre,régionale
6.970349747562702,chef,majorité
6.187447869229635,chef,gouvernement
8.002186613593384,raison,laquelle
7.85756305051393,raison,simple
1.7332349155117281,raison,bien
3.49153465135681,allons,faire
4.077504972615554,expliquer,français
6.151865239423731,malgré,millions
8.658239350031485,milliards,euros
7.871946043501708,milliards,habitants
7.763011671948544,milliards,francs
7.415088368528236,milliards,coût
5.451614244553351,milliards,milliards
13.823347335176017,cartes,vitales
8.165544027569366,dernières,années
8.01470486725795,dernières,élections
13.145275430063379,serge,félon
6.323102968587202,amis,mégret
5.689948209758819,donné,avais
3.548037584486103,donné,faut
11.444835711922288,points,communs
11.226412192788782,aides,sociales
14.560312929342224,colonne,vertébrale
10.045138758777933,partenaires,européens
8.916456739567499,abandonner,partie
10.312385415898637,grands,axes
9.174881892148704,grands,groupes
7.9904573210112755,grands,parents
7.906393056222802,grands,partis
6.747600797115112,grands,problèmes
7.331494238846343,tiers,monde
7.034139759828673,enfants,école
2.584106839193625,enfants,faut
10.922883008726933,acte,légal
8.769077672647896,protection,sociale
6.878488889368478,protection,frontières
8.08999299456219,terme,extrême
4.509708448493237,sais,ecoutez
4.392894783510487,sais,rien
4.116563555063234,sais,sera
2.991032672979376,sais,bien
1.7528909192313655,sais,plus
14.14527543006338,génocide,arménien
1.4722976911632486,aujourd,front
1.3599047033162819,aujourd,français
1.0608407167806533,aujourd,dire
0.8670437864490168,aujourd,faire
0.8039651038256359,aujourd,plus
4.424817391670082,entrer,pays
7.2749107104799755,pose,question
5.247429974057868,appartient,français
5.171099875142152,trouvé,était
3.451570690838091,déjà,certain
3.392894783510487,déjà,beaucoup
1.6325966855136542,déjà,plus
12.238384834454859,plans,renflouement
7.431029912397257,assez,étonnant
6.778953215817564,assez,scandaleux
6.0684598330125485,assez,normal
3.0551630103990917,assez,bien
4.049109350763542,disait,était
9.793599991781965,parlement,européen
7.530565585948169,production,française
4.032510148178062,voilà,choses
3.9541390846251883,voilà,écoutez
3.013032773678759,voilà,gens
2.466345242911034,voilà,pense
2.3396323082900174,voilà,suis
2.2916978312263154,voilà,faut
1.3658638498631959,voilà,bien
9.20863749106081,voudrais,rappeler
7.486171466589717,voudrais,simplement
6.071133967310876,voudrais,abord
4.240546739015553,voudrais,dire
3.4617873079627586,voudrais,faire
7.814358551948764,rendre,compte
