mot,type,MLP total global,MLP 2011,MLP 2012,MLP 2013,total MLP radio,MLP discours,MLP TV,MLP radio 2011,MLP radio 2012,MLP radio 2013,MLP discours 2011,MLP discours 2012,MLP discours 2013,MLP TV 2011,MLP TV 2012,MLP TV 2013
priorité,nms,13,4,7,2,5,8,,2,2,1,2,5,1,,,
prison,nms,9,2,7,,2,3,4,1,1,,,3,,1,3,
privatisation,nms,1,,1,,1,,,,1,,,,,,,
privé,nms,2,2,,,1,1,,1,,,1,,,,,
privilège,nms,2,1,1,,1,1,,,1,,1,,,,,
prix,nms,31,16,14,1,15,11,5,6,9,,5,5,1,5,,
problématique,nms,2,,2,,,,2,,,,,,,,2,
problème,nms,98,41,34,23,75,10,13,32,28,15,5,2,3,4,4,5
processus,nms,2,1,1,,2,,,1,1,,,,,,,
producteur,nms,2,,2,,2,,,,2,,,,,,,
production,nms,6,2,2,2,1,5,,,1,,2,1,2,,,
produit,nms,9,3,6,,7,1,1,2,5,,,1,,1,,
professeur,nms,1,1,,,,1,,,,,1,,,,,
profession,nms,2,,2,,,2,,,,,,2,,,,
profit,nms,4,2,,2,,4,,,,,2,,2,,,
programme,nms,14,6,6,2,6,5,3,2,4,,2,1,2,2,1,
progrès,nms,1,,1,,,1,,,,,,1,,,,
progression,nms,1,,,1,,1,,,,,,,1,,,
projet,nms,88,40,40,8,15,59,14,10,4,1,23,31,5,7,5,2
promesse,nms,22,4,11,7,5,17,,2,3,,2,8,7,,,
proposition,nms,21,6,13,2,8,11,2,2,6,,4,6,1,,1,1
propriétaire,nms,1,1,,,,,1,,,,,,,1,,
propriété,nms,2,,2,,2,,,,2,,,,,,,
prospérité,nms,3,,1,2,,3,,,,,,1,2,,,
protecteur,nms,1,,1,,,1,,,,,,1,,,,
protection,nms,27,11,15,1,9,15,3,4,5,,4,10,1,3,,
protectionnisme,nms,24,5,17,2,12,12,,5,7,,,10,2,,,
province,nms,2,,2,,,2,,,,,,2,,,,
provocation,nms,2,1,,1,1,1,,,,1,1,,,,,
proximité,nms,3,,3,,2,1,,,2,,,1,,,,
pseudo,nms,2,2,,,,2,,,,,2,,,,,
public,nms,1,,1,,,1,,,,,,1,,,,
puisqu'il,nms,6,2,3,1,2,,4,2,,,,,,,3,1
puissance,nms,15,7,5,3,2,13,,2,,,5,5,3,,,
puissant,nms,3,,2,1,,3,,,,,,2,1,,,
qualité,nms,3,2,1,,1,2,,,1,,2,,,,,
quartier,nms,18,3,15,,,13,5,,,,3,10,,,5,
question,nms,62,33,22,7,32,20,10,18,12,2,14,6,,1,4,5
quid,nms,3,1,2,,3,,,1,2,,,,,,,
quinquennat,nms,3,,3,,,3,,,,,,3,,,,
quotidien,nms,2,,2,,,2,,,,,,2,,,,
racine,nms,1,,1,,,1,,,,,,1,,,,
racisme,nms,2,,1,1,,,2,,,,,,,,1,1
rançon,nms,5,,,5,5,,,,,5,,,,,,
rang,nms,1,,,1,,1,,,,,,,1,,,
rapport,nms,3,,,3,1,2,,,,1,,,2,,,
rassemblement,nms,9,4,4,1,6,1,2,3,2,1,1,,,,2,
réalité,nms,89,42,22,25,47,25,17,27,3,17,10,9,6,5,10,2
rebelle,nms,1,,,1,1,,,,,1,,,,,,
recette,nms,1,1,,,1,,,1,,,,,,,,
recherche,nms,11,7,1,3,9,2,,5,1,3,2,,,,,
récidiviste,nms,1,1,,,,1,,,,,1,,,,,
recours,nms,1,,1,,,1,,,,,,1,,,,
recul,nms,2,,,2,,2,,,,,,,2,,,
redressement,nms,4,1,3,,1,3,,1,,,,3,,,,
référendum,nms,25,4,13,8,15,7,3,1,8,6,3,2,2,,3,
réflexion,nms,5,2,3,,,4,1,,,,2,2,,,1,
réforme,nms,1,1,,,,1,,,,,1,,,,,
régime,nms,2,1,1,,1,1,,1,,,,1,,,,
région,nms,8,5,3,,5,3,,4,1,,1,2,,,,
règle,nms,27,9,16,2,11,11,5,8,1,2,1,10,,,5,
règne,nms,2,1,1,,,2,,,,,1,1,,,,
régularisation,nms,5,5,,,,5,,,,,5,,,,,
régulation,nms,1,1,,,,1,,,,,1,,,,,
réindustrialisation,nms,17,9,8,,1,16,,,1,,9,7,,,,
rejet,nms,2,1,1,,1,1,,1,,,,1,,,,
relais,nms,1,,1,,,1,,,,,,1,,,,
relance,nms,1,,1,,1,,,,1,,,,,,,
relation,nms,8,4,4,,2,4,2,2,,,,4,,2,,
religion,nms,12,,8,4,2,10,,,,2,,8,2,,,
relocalisation,nms,3,3,,,2,1,,2,,,1,,,,,
remaniement,nms,3,3,,,,1,2,,,,1,,,2,,
remède,nms,1,,1,,,1,,,,,,1,,,,
rencontre,nms,1,1,,,,1,,,,,1,,,,,
renoncement,nms,7,6,1,,,7,,,,,6,1,,,,
renseignement,nms,2,,1,1,1,1,,,,1,,1,,,,
rentabilité,nms,3,2,1,,3,,,2,1,,,,,,,
repentance,nms,2,,1,1,1,1,,,1,,,,1,,,
réponse,nms,2,2,,,,2,,,,,2,,,,,
reportage,nms,2,,1,1,,,2,,,,,,,,1,1
représentant,nms,4,,4,,1,3,,,1,,,3,,,,
reprise,nms,3,2,1,,1,2,,,1,,2,,,,,
république,nms,10,2,8,,10,,,2,8,,,,,,,
réseau,nms,1,,1,,,1,,,,,,1,,,,
réserve,nms,2,1,,1,1,1,,,,1,1,,,,,
résidence,nms,1,,,1,1,,,,,1,,,,,,
résistance,nms,7,7,,,,7,,,,,7,,,,,
respect,nms,15,4,7,4,,10,5,,,,1,5,4,3,2,
responsabilité,nms,22,7,5,10,4,11,7,,,4,5,4,2,2,1,4
responsable,nms,4,2,1,1,2,1,1,1,1,,,,1,1,,
restauration,nms,2,2,,,,2,,,,,2,,,,,
reste,nms,4,3,1,,,4,,,,,3,1,,,,
résultat,nms,12,9,3,,9,2,1,7,2,,1,1,,1,,
retour,nms,20,13,6,1,4,15,1,2,2,,11,3,1,,1,
retraite,nms,9,7,2,,,9,,,,,7,2,,,,
retraité,nms,3,3,,,,3,,,,,3,,,,,
réussite,nms,2,,1,1,,2,,,,,,1,1,,,
revendication,nms,1,1,,,,1,,,,,1,,,,,
révolte,nms,1,,1,,,1,,,,,,1,,,,
révolution,nms,4,4,,,2,2,,2,,,2,,,,,
richesse,nms,7,4,3,,4,3,,1,3,,3,,,,,
risque,nms,2,,1,1,1,,1,,,1,,,,,1,
roi,nms,4,1,1,2,,4,,,,,1,1,2,,,
rôle,nms,18,6,8,4,3,15,,1,1,1,5,7,3,,,
rom,nms,1,,1,,,1,,,,,,1,,,,
route,nms,1,,1,,,1,,,,,,1,,,,
rue,nms,2,2,,,2,,,2,,,,,,,,
rupture,nms,2,1,,1,2,,,1,,1,,,,,,
rythme,nms,1,,,1,,1,,,,,,,1,,,
saccage,nms,1,,1,,,1,,,,,,1,,,,
sacrifice,nms,7,3,4,,3,4,,2,1,,1,3,,,,
salaire,nms,38,14,24,,14,21,3,2,12,,10,11,,2,1,
salarié,nms,18,1,15,2,10,7,1,,10,,1,4,2,,1,
salle,nms,1,1,,,,1,,,,,1,,,,,
sanction,nms,6,,,6,,6,,,,,,,6,,,
sang,nms,1,,1,,,1,,,,,,1,,,,
santé,nms,8,,8,,1,7,,,1,,,7,,,,
savoir,nms,5,1,3,1,1,4,,,,1,1,3,,,,
savoir-faire,nms,1,,1,,1,,,,1,,,,,,,
scandale,nms,8,4,4,,,8,,,,,4,4,,,,
scrutin,nms,1,,,1,,1,,,,,,,1,,,
secteur,nms,7,1,6,,4,3,,,4,,1,2,,,,
sécurité,nms,32,16,13,3,8,17,7,4,1,3,9,8,,3,4,
séduction,nms,2,2,,,,,2,,,,,,,2,,
sein,nms,2,,2,,2,,,,2,,,,,,,
semaine,nms,2,,2,,,1,1,,,,,1,,,1,
semblant,nms,1,,,1,,1,,,,,,,1,,,
sens,nms,24,10,10,4,3,20,1,3,,,6,10,4,1,,
sensibilité,nms,3,2,,1,1,,2,,,1,,,,2,,
sentiment,nms,11,4,3,4,6,5,,2,,4,2,3,,,,
septembre,nms,1,1,,,,1,,,,,1,,,,,
série,nms,1,,1,,1,,,,1,,,,,,,
service,nms,20,7,7,6,1,19,,,,1,7,7,5,,,
serviteur,nms,1,,1,,,1,,,,,,1,,,,
servitude,nms,4,3,,1,,4,,,,,3,,1,,,
seuil,nms,1,,1,,1,,,,1,,,,,,,
siècle,nms,6,3,3,,,6,,,,,3,3,,,,
siège,nms,1,1,,,1,,,1,,,,,,,,
signature,nms,1,1,,,1,,,1,,,,,,,,
silence,nms,1,,1,,,1,,,,,,1,,,,
site,nms,2,,2,,2,,,,2,,,,,,,
situation,nms,47,26,13,8,27,16,4,14,6,7,10,5,1,2,2,
slogan,nms,3,,1,2,2,1,,,,2,,1,,,,
socialiste,nms,4,,4,,4,,,,4,,,,,,,
Socialiste,nms,1,,1,,1,,,,1,,,,,,,
société,nms,40,11,22,7,2,37,1,2,,,9,21,7,,1,
soin,nms,3,1,2,,1,2,,1,,,,2,,,,
soir,nms,7,2,4,1,1,5,1,,1,,2,2,1,,1,
sol,nms,2,1,1,,,1,1,,,,1,,,,1,
soldat,nms,5,1,4,,1,4,,1,,,,4,,,,
solidarité,nms,15,10,1,4,,12,3,,,,7,1,4,3,,
solitude,nms,2,,2,,,2,,,,,,2,,,,
solution,nms,21,9,12,,6,13,2,5,1,,3,10,,1,1,
sommet,nms,3,1,2,,,2,1,,,,,2,,1,,
sondage,nms,15,8,7,,13,,2,6,7,,,,,2,,
sorte,nms,25,10,12,3,14,3,8,6,5,3,2,1,,2,6,
sortie,nms,3,3,,,2,1,,2,,,1,,,,,
souffrance,nms,1,,1,,,1,,,,,,1,,,,
soumission,nms,6,,6,,,6,,,,,,6,,,,
sous-traitant,nms,4,,4,,4,,,,4,,,,,,,
soutien,nms,8,3,4,1,3,5,,1,2,,2,2,1,,,
souverain,nms,1,,,1,,1,,,,,,,1,,,
souveraineté,nms,32,20,5,7,7,22,3,4,1,2,16,1,5,,3,
spirale,nms,1,,1,,,1,,,,,,1,,,,
statistique,nms,1,,1,,,1,,,,,,1,,,,
statut,nms,3,2,1,,3,,,2,1,,,,,,,
stratégie,nms,6,2,2,2,4,2,,1,2,1,1,,1,,,
structure,nms,1,,1,,1,,,,1,,,,,,,
subvention,nms,3,3,,,2,1,,2,,,1,,,,,
succès,nms,3,,,3,,3,,,,,,,3,,,
sujet,nms,35,3,16,16,13,17,5,2,6,5,,6,11,1,4,
suppression,nms,6,3,3,,3,3,,,3,,3,,,,,
survie,nms,2,,,2,,2,,,,,,,2,,,
symbole,nms,4,,1,3,3,1,,,,3,,1,,,,
syndicat,nms,11,6,4,1,5,6,,3,2,,3,2,1,,,
système,nms,113,37,66,10,22,78,13,6,15,1,24,45,9,7,6,
talent,nms,4,1,2,1,,4,,,,,1,2,1,,,
tard,nms,1,,1,,,1,,,,,,1,,,,
tarif,nms,1,,1,,,1,,,,,,1,,,,
taux,nms,2,1,1,,1,,1,1,,,,,,,1,
taxation,nms,1,,1,,,1,,,,,,1,,,,
taxe,nms,12,5,4,3,10,2,,4,3,3,1,1,,,,
technocrate,nms,3,,3,,1,2,,,1,,,2,,,,
technologie,nms,3,3,,,3,,,3,,,,,,,,
temps,nms,81,33,34,14,19,53,9,8,9,2,23,18,12,2,7,
tension,nms,1,,1,,,1,,,,,,1,,,,
tenu,nms,2,2,,,2,,,2,,,,,,,,
terme,nms,7,4,1,2,5,2,,3,1,1,1,,1,,,
terre,nms,19,4,14,1,,19,,,,,4,14,1,,,
terreur,nms,2,,2,,,2,,,,,,2,,,,
territoire,nms,41,7,27,7,8,29,4,1,2,5,6,21,2,,4,
terrorisme,nms,6,,5,1,1,5,,,1,,,4,1,,,
tête,nms,10,5,3,2,3,6,1,1,,2,4,2,,,1,
texte,nms,2,,,2,,1,1,,,,,,1,,,1
tiers,nms,3,3,,,2,,1,2,,,,,,1,,
tissu,nms,1,,1,,,1,,,,,,1,,,,
titre,nms,10,4,3,3,,9,1,,,,3,3,3,1,,
totalitarisme,nms,4,1,,3,,4,,,,,1,,3,,,
tour,nms,15,6,8,1,3,7,5,,2,1,5,2,,1,4,
tradition,nms,2,1,1,,,2,,,,,1,1,,,,
trafic,nms,3,,3,,,3,,,,,,3,,,,
trahison,nms,1,1,,,,1,,,,,1,,,,,
train,nms,2,,2,,,1,1,,,,,1,,,1,
traité,nms,11,2,9,,3,5,3,1,2,,,5,,1,2,
tranquillité,nms,1,,1,,,1,,,,,,1,,,,
transfert,nms,1,1,,,1,,,1,,,,,,,,
transmission,nms,3,3,,,,3,,,,,3,,,,,
transparence,nms,10,4,2,4,4,6,,,,4,4,2,,,,
transport,nms,6,2,4,,,6,,,,,2,4,,,,
travail,nms,34,16,11,7,1,32,1,1,,,15,10,7,,1,
travailleur,nms,10,7,2,1,,10,,,,,7,2,1,,,
trimestre,nms,1,1,,,,1,,,,,1,,,,,
tutelle,nms,1,,,1,1,,,,,1,,,,,,
ultralibéralisme,nms,1,1,,,,1,,,,,1,,,,,
ultralibéralisme(l'),nms,2,2,,,2,,,2,,,,,,,,
ump(l'),nms,113,15,58,40,53,43,17,4,24,25,10,24,9,1,10,6
UMP(L'),nms,5,,,5,,5,,,,,,,5,,,
une,nms,2,,2,,,2,,,,,,2,,,,
une(d'),nms,35,13,16,6,1,30,4,1,,,10,14,6,2,2,
une(l'),nms,2,1,1,,,2,,,,,1,1,,,,
une(qu'),nms,17,4,6,7,2,15,,1,1,,3,5,7,,,
union(l'),nms,20,11,4,5,18,2,,10,3,5,1,1,,,,
Union(L'),nms,2,2,,,,,2,,,,,,,2,,
université,nms,1,,1,,,1,,,,,,1,,,,
urgence,nms,1,,,1,1,,,,,1,,,,,,
urgence(d'),nms,1,,1,,,1,,,,,,1,,,,
usine,nms,1,,,1,,1,,,,,,,1,,,
utopie,nms,1,,1,,,1,,,,,,1,,,,
vague,nms,1,1,,,,1,,,,,1,,,,,
valeur,nms,35,13,18,4,1,34,,1,,,12,18,4,,,
véhicule,nms,1,1,,,,1,,,,,1,,,,,
vents,nms,6,1,4,1,,6,,,,,1,4,1,,,
vérité,nms,34,10,20,4,,34,,,,,10,20,4,,,
vertu,nms,1,1,,,,1,,,,,1,,,,,
victime,nms,21,9,8,4,5,16,,2,,3,7,8,1,,,
victoire,nms,8,1,4,3,,8,,,,,1,4,3,,,
vide,nms,1,,1,,,1,,,,,,1,,,,
vie,nms,54,11,34,9,4,49,1,1,2,1,9,32,8,1,,
village,nms,16,2,14,,,15,1,,,,2,13,,,1,
ville,nms,30,5,18,7,4,20,6,1,,3,4,15,1,,3,3
violence,nms,24,7,14,3,2,22,,,,2,7,14,1,,,
vision,nms,27,12,14,1,14,9,4,9,4,1,3,6,,,4,
vocation,nms,3,1,1,1,,3,,,,,1,1,1,,,
vœux,nms,2,,,2,,2,,,,,,,2,,,
voie,nms,3,2,1,,1,2,,1,,,1,1,,,,
voile,nms,1,1,,,,1,,,,,1,,,,,
voisin,nms,1,1,,,1,,,1,,,,,,,,
voiture,nms,2,,1,1,,1,1,,,,,1,,,,1
voix,nms,18,14,1,3,2,16,,2,,,12,1,3,,,
volontaire,nms,1,1,,,,1,,,,,1,,,,,
volonté,nms,17,5,7,5,1,16,,,1,,5,6,5,,,
vote,nms,13,3,8,2,7,4,2,,6,1,1,2,1,2,,
voyou,nms,3,,3,,,3,,,,,,3,,,,
vue,nms,4,2,2,,,4,,,,,2,2,,,,
zone,nms,7,2,3,2,1,6,,1,,,1,3,2,,,
y(d'),nom,10,2,5,3,3,6,1,1,1,1,1,3,2,,1,
y(j'),nom,18,4,9,5,9,9,,4,3,2,,6,3,,,
y(n'),nom,188,80,77,31,82,80,26,40,26,16,34,33,13,6,18,2
y(s'),nom,27,4,19,4,3,17,7,,2,1,2,13,2,2,4,1
1er,nom,12,5,4,3,4,8,,2,2,,3,2,3,,,
3ème,nom,5,1,2,2,,5,,,,,1,2,2,,,
à(qu'),nom,52,21,22,9,19,25,8,8,9,2,12,9,4,1,4,3
abandon,nom,5,2,3,,1,4,,1,,,1,3,,,,
abandon(l'),nom,16,4,10,2,4,9,3,1,2,1,1,7,1,2,1,
abandonné,nom,6,2,3,1,1,5,,,,1,2,3,,,,
abord,nom,8,2,3,3,6,2,,,3,3,2,,,,,
abord(d'),nom,152,48,68,36,65,56,31,22,26,17,20,19,17,6,23,2
abri(l'),nom,6,1,5,,2,4,,1,1,,,4,,,,
absence,nom,10,3,5,2,3,7,,,2,1,3,3,1,,,
absence(l'),nom,8,2,5,1,3,4,1,2,1,,,3,1,,1,
absolu,nom,2,2,,,,2,,,,,2,,,,,
absurdité,nom,7,,6,1,2,3,2,,1,1,,3,,,2,
abus,nom,14,7,5,2,9,3,2,5,2,2,1,2,,1,1,
accès,nom,13,6,7,,3,8,2,2,1,,3,5,,1,1,
accès(d'),nom,7,2,5,,4,1,2,1,3,,1,,,,2,
accès(l'),nom,9,3,6,,2,6,1,1,1,,2,4,,,1,
accession(l'),nom,6,1,5,,,3,3,,,,1,2,,,3,
accord,nom,37,7,24,6,24,9,4,3,16,5,4,4,1,,4,
accord(d'),nom,63,23,29,11,48,1,14,21,18,9,,1,,2,10,2
accord(l'),nom,8,2,3,3,2,6,,,1,1,2,2,2,,,
accusation,nom,7,3,2,2,6,1,,3,2,1,,,1,,,
achat,nom,9,4,4,1,6,3,,1,4,1,3,,,,,
achat(d'),nom,67,22,35,10,30,29,8,8,21,1,11,11,7,3,3,2
acquis,nom,8,4,3,1,1,7,,,1,,4,2,1,,,
acquisition,nom,6,1,3,2,4,2,,,3,1,1,,1,,,
acquisition(l'),nom,6,4,2,,4,2,,3,1,,1,1,,,,
act,nom,6,3,3,,6,,,3,3,,,,,,,
acte,nom,43,7,24,12,24,11,8,5,12,7,1,8,2,1,4,3
acteur,nom,11,3,5,3,3,7,1,1,1,1,2,3,2,,1,
action,nom,32,13,10,9,11,21,,2,6,3,11,4,6,,,
action(d'),nom,6,3,2,1,1,5,,,,1,3,2,,,,
action(l'),nom,22,7,12,3,2,20,,1,1,,6,11,3,,,
actionnaire,nom,8,3,4,1,1,3,4,,,1,1,2,,2,2,
activité,nom,23,8,10,5,9,10,4,1,3,5,7,3,,,4,
adhérent,nom,18,7,10,1,7,7,4,1,5,1,6,1,,,4,
adhésion,nom,9,2,4,3,3,5,1,,2,1,1,2,2,1,,
admet(l'),nom,5,2,2,1,2,2,1,2,,,,2,,,,1
administration,nom,13,7,5,1,2,11,,,2,,7,3,1,,,
administration(d'),nom,5,3,2,,1,4,,1,,,2,2,,,,
administration(l'),nom,12,4,6,2,5,6,1,2,3,,2,3,1,,,1
adoption(l'),nom,9,2,4,3,5,,4,,3,2,,,,2,1,1
adversaire,nom,27,11,10,6,7,16,4,,3,4,9,5,2,2,2,
affaiblissement,nom,5,3,1,1,1,4,,,1,,3,,1,,,
affaiblissement(l'),nom,5,2,2,1,,5,,,,,2,2,1,,,
affaire,nom,70,25,27,18,20,43,7,5,5,10,19,16,8,1,6,
affiche,nom,6,2,4,,2,3,1,,2,,2,1,,,1,
affirme(l'),nom,9,2,5,2,2,7,,,1,1,2,4,1,,,
Afghanistan,nom,7,,6,1,,6,1,,,,,5,1,,1,
Afrique,nom,5,4,1,,,3,2,,,,2,1,,2,,
âge,nom,8,2,5,1,2,4,2,,2,,2,1,1,,2,
agence,nom,7,3,4,,,7,,,,,3,4,,,,
agent,nom,7,2,5,,,7,,,,,2,5,,,,
aggravation(l'),nom,8,2,3,3,3,3,2,1,,2,,2,1,1,1,
agissements,nom,5,2,2,1,1,3,1,1,,,1,1,1,,1,
agression,nom,12,4,7,1,2,10,,1,,1,3,7,,,,
agriculteur,nom,27,12,13,2,7,16,4,5,,2,7,9,,,4,
agriculture,nom,13,2,8,3,2,10,1,,,2,2,7,1,,1,
agriculture(l'),nom,8,1,6,1,2,5,1,1,,1,,5,,,1,
aide,nom,50,17,28,5,12,31,7,5,4,3,9,20,2,3,4,
aide(d'),nom,6,1,4,1,2,4,,,1,1,1,3,,,,
aide(l'),nom,14,6,8,,8,2,4,5,3,,,2,,1,3,
aides(d'),nom,7,5,2,,4,3,,2,2,,3,,,,,
ailleur(d'),nom,310,134,109,67,206,26,78,101,56,49,8,10,8,25,43,10
aime(j'),nom,12,1,9,2,2,9,1,1,,1,,8,1,,1,
air,nom,10,4,4,2,3,7,,,2,1,4,2,1,,,
air(l'),nom,11,4,5,2,7,3,1,3,3,1,1,1,1,,1,
ajustement(d'),nom,8,3,4,1,3,5,,1,1,1,2,3,,,,
Al-Assad,nom,10,2,1,7,10,,,2,1,7,,,,,,
Alain,nom,6,2,4,,2,4,,,2,,2,2,,,,
alain(d'),nom,6,3,3,,,6,,,,,3,3,,,,
Algérie,nom,5,2,3,,4,,1,1,3,,,,,1,,
Ali,nom,9,8,1,,6,2,1,6,,,1,1,,1,,
allant,nom,6,3,3,,1,3,2,1,,,1,2,,1,1,
Allemagne,nom,5,,4,1,4,1,,,3,1,,1,,,,
allemagne(l'),nom,27,10,7,10,13,8,6,6,4,3,3,1,4,1,2,3
allemand,nom,2,1,,1,,1,1,,,,,,1,1,,
alliance,nom,10,4,4,2,6,3,1,3,2,1,1,1,1,,1,
allié,nom,6,2,,4,3,3,,1,,2,1,,2,,,
allocation,nom,5,4,,1,2,1,2,2,,,1,,,1,,1
alternance,nom,5,2,2,1,,5,,,,,2,2,1,,,
alternative,nom,5,3,1,1,1,3,1,,,1,2,1,,1,,
amalgame,nom,6,1,,5,4,,2,,,4,,,,1,,1
ambition,nom,16,3,5,8,2,13,1,,1,1,3,3,7,,1,
âme,nom,20,10,9,1,1,19,,1,,,9,9,1,,,
âme(l'),nom,8,2,4,2,,7,1,,,,2,3,2,,1,
amendement,nom,6,1,5,,3,1,2,,3,,1,,,,2,
Américains,nom,9,3,2,4,6,2,1,3,1,2,,1,1,,,1
ami,nom,148,54,71,23,18,127,3,3,7,8,51,62,14,,2,1
amour,nom,19,9,8,2,3,15,1,2,1,,7,6,2,,1,
amour(l'),nom,17,6,9,2,1,15,1,1,,,4,9,2,1,,
amoureux,nom,6,1,4,1,,4,2,,,,1,2,1,,2,
ampleur,nom,5,1,3,1,,5,,,,,1,3,1,,,
an,nom,364,140,170,54,147,153,64,61,60,26,58,74,21,21,36,7
an(l'),nom,5,3,1,1,1,3,1,1,,,1,1,1,1,,
analyse,nom,28,9,14,5,15,11,2,3,10,2,5,3,3,1,1,
analyse(l'),nom,9,4,3,2,5,3,1,1,2,2,2,1,,1,,
analyste,nom,6,2,2,2,2,2,2,1,1,,,,2,1,1,
anarchie(l'),nom,15,,14,1,,15,,,,,,14,1,,,
ancien,nom,11,5,1,5,4,5,2,3,,1,1,,4,1,1,
angélisme(l'),nom,6,3,3,,2,4,,2,,,1,3,,,,
anglo-saxon,nom,1,,,1,1,,,,,1,,,,,,
année,nom,170,59,66,45,61,85,24,25,22,14,27,33,25,7,11,6
annonce(l'),nom,7,2,5,,1,6,,1,,,1,5,,,,
anonyme,nom,5,,5,,,5,,,,,,5,,,,
anti,nom,5,,3,2,1,4,,,,1,,3,1,,,
août,nom,5,2,2,1,1,4,,,,1,2,2,,,,
apercevoir(s'),nom,6,4,2,,3,,3,2,1,,,,,2,1,
aperçois(m'),nom,5,2,3,,4,,1,2,2,,,,,,1,
Aphatie,nom,57,21,29,7,57,,,21,29,7,,,,,,
appareil,nom,5,3,2,,2,2,1,1,1,,1,1,,1,,
appauvrissement(l'),nom,5,4,1,,3,1,1,3,,,,1,,1,,
appel,nom,11,6,3,2,1,9,1,1,,,5,2,2,,1,
appelé,nom,7,2,5,,4,3,,1,3,,1,2,,,,
appelle(j'),nom,14,4,9,1,6,6,2,3,3,,1,4,1,,2,
appelle(s'),nom,12,4,5,3,7,2,3,2,3,2,2,,,,2,1
application,nom,9,3,5,1,4,5,,,3,1,3,2,,,,
application(l'),nom,8,5,1,2,4,4,,3,,1,2,1,1,,,
apprentissage(l'),nom,6,5,1,,,6,,,,,5,1,,,,
après(d'),nom,6,3,1,2,5,1,,2,1,2,1,,,,,
arabe,nom,1,1,,,,,1,,,,,,,1,,
arabie(l'),nom,6,1,1,4,4,1,1,1,,3,,,1,,1,
arc(d'),nom,9,5,3,1,,9,,,,,5,3,1,,,
argent,nom,21,12,7,2,4,13,4,1,2,1,10,3,,1,2,1
argentine(l'),nom,9,3,5,1,4,4,1,3,1,,,3,1,,1,
argument,nom,9,6,2,1,2,5,2,1,,1,5,,,,2,
arme,nom,37,8,14,15,16,18,3,2,1,13,5,11,2,1,2,
armée,nom,14,5,3,6,6,8,,,3,3,5,,3,,,
armes(d'),nom,6,1,4,1,1,4,1,1,,,,3,1,,1,
arrangement,nom,6,3,3,,,6,,,,,3,3,,,,
arrêt,nom,8,7,1,,,7,1,,,,7,,,,1,
arrivée,nom,6,3,2,1,2,3,1,1,1,,2,1,,,,1
art(l'),nom,5,4,1,,1,4,,1,,,3,1,,,,
article,nom,9,5,4,,6,2,1,3,3,,2,,,,1,
artifice,nom,6,1,1,4,2,4,,,,2,1,1,2,,,
artificiel,nom,1,1,,,,1,,,,,1,,,,,
artisan,nom,20,6,11,3,1,17,2,,1,,6,9,2,,1,1
artiste,nom,8,6,2,,7,1,,5,2,,1,,,,,
ascenseur(l'),nom,6,,6,,1,5,,,1,,,5,,,,
aspect,nom,5,3,1,1,3,2,,3,,,,1,1,,,
aspiration,nom,7,4,2,1,,7,,,,,4,2,1,,,
assemblée,nom,8,5,3,,,8,,,,,5,3,,,,
asservissement(l'),nom,5,3,,2,,5,,,,,3,,2,,,
assimilation,nom,5,3,1,1,1,4,,,,1,3,1,,,,
assimilation(d'),nom,6,,6,,,6,,,,,,6,,,,
assimilation(l'),nom,17,2,13,2,,16,1,,,,1,13,2,1,,
association,nom,28,11,10,7,9,10,9,2,1,6,5,5,,4,4,1
assume(l'),nom,7,1,1,5,2,1,4,1,,1,,1,,,,4
atout,nom,10,5,2,3,3,7,,3,,,2,2,3,,,
attaque,nom,5,,2,3,1,4,,,,1,,2,2,,,
attaque(s'),nom,5,3,1,1,1,2,2,1,,,,1,1,2,,
atteinte,nom,6,5,1,,1,4,1,1,,,3,1,,1,,
attends(j'),nom,6,,5,1,3,3,,,2,1,,3,,,,
attention,nom,7,5,2,,2,3,2,1,1,,2,1,,2,,
attention(l'),nom,7,3,2,2,2,4,1,1,,1,1,2,1,1,,
attitude,nom,5,,3,2,1,4,,,,1,,3,1,,,
attribution(l'),nom,5,3,2,,,5,,,,,3,2,,,,
au-delà,nom,36,9,22,5,14,18,4,1,11,2,5,10,3,3,1,
au(qu'),nom,19,11,6,2,7,9,3,6,,1,4,4,1,1,2,
Aubry,nom,6,5,1,,3,2,1,3,,,1,1,,1,,
audace,nom,5,2,1,2,,5,,,,,2,1,2,,,
auditeur,nom,6,4,1,1,6,,,4,1,1,,,,,,
augmentation,nom,35,20,8,7,24,6,5,14,4,6,4,2,,2,2,1
augmentation(l'),nom,11,4,7,,5,4,2,2,3,,1,3,,1,1,
aujourd'hui,nom,440,186,172,82,158,219,63,89,33,36,75,103,41,22,36,5
aujourd'hui(d'),nom,7,2,2,3,1,6,,,,1,2,2,2,,,
aujourd'hui(qu'),nom,31,17,8,6,18,7,6,10,4,4,4,2,1,3,2,1
austérité,nom,7,1,3,3,2,3,2,,2,,1,1,1,,,2
autorité,nom,35,10,18,7,4,30,1,2,,2,8,17,5,,1,
autoroute,nom,5,3,2,,2,3,,1,1,,2,1,,,,
autre(d'),nom,32,13,16,3,5,22,5,3,1,1,8,12,2,2,3,
autre(l'),nom,57,20,30,7,29,24,4,11,15,3,8,12,4,1,3,
autres(d'),nom,94,35,38,21,41,46,7,18,13,10,15,21,10,2,4,1
avantage,nom,12,6,5,1,7,2,3,4,2,1,2,,,,3,
