mot,type,MLP total global,MLP 2011,MLP 2012,MLP 2013,total MLP radio,MLP discours,MLP TV,MLP radio 2011,MLP radio 2012,MLP radio 2013,MLP discours 2011,MLP discours 2012,MLP discours 2013,MLP TV 2011,MLP TV 2012,MLP TV 2013
insécuriter(l'),ver,55,9,32,14,9,38,8,,4,5,6,23,9,3,5,
insister,ver,5,,4,1,1,4,,,1,,,3,1,,,
inspirer,ver,8,4,1,3,,8,,,,,4,1,3,,,
installer,ver,11,3,7,1,1,10,,,1,,3,6,1,,,
installer(s'),ver,13,4,9,,2,10,1,,2,,4,6,,,1,
inster(l'),ver,30,13,13,4,19,1,10,11,7,1,,,1,2,6,2
instruire,ver,7,4,3,,1,6,,,1,,4,2,,,,
insulter,ver,5,,4,1,4,,1,,3,1,,,,,1,
intégrer,ver,8,1,5,2,1,5,2,,,1,1,3,1,,2,
interdire,ver,47,18,24,5,15,27,5,3,8,4,14,13,,1,3,1
intéresser,ver,22,9,5,8,13,6,3,5,3,5,3,2,1,1,,2
interroger,ver,5,1,3,1,3,2,,1,1,1,,2,,,,
interroger(s'),ver,7,1,2,4,4,3,,1,,3,,2,1,,,
intervenir,ver,29,8,11,10,20,4,5,5,5,10,1,3,,2,3,
inventer,ver,5,,3,2,1,3,1,,1,,,1,2,,1,
inverser,ver,7,2,4,1,,7,,,,,2,4,1,,,
investir,ver,19,5,11,3,10,4,5,4,4,2,1,2,1,,5,
inviter,ver,13,5,5,3,4,6,3,2,,2,3,3,,,2,1
irer(j'),ver,7,1,,6,5,1,1,1,,4,,,1,,,1
irer(n'),ver,5,3,1,1,4,1,,2,1,1,1,,,,,
irriguer,ver,5,1,4,,,5,,,,,1,4,,,,
isoler,ver,8,4,4,,3,5,,2,1,,2,3,,,,
issir,ver,21,13,5,3,5,14,2,3,2,,8,3,3,2,,
jeter,ver,31,16,12,3,6,21,4,1,3,2,11,9,1,4,,
jouer,ver,44,18,19,7,12,27,5,7,4,1,10,12,5,1,3,1
jouir,ver,6,4,2,,,6,,,,,4,2,,,,
juger,ver,20,4,11,5,3,14,3,,2,1,4,7,3,,2,1
justifier,ver,13,7,3,3,4,9,,3,,1,4,3,2,,,
lâcher,ver,5,2,3,,,5,,,,,2,3,,,,
laisser,ver,145,56,67,22,39,82,24,20,12,7,30,42,10,6,13,5
lancer,ver,36,12,13,11,12,24,,3,4,5,9,9,6,,,
lever,ver,18,9,6,3,4,12,2,,3,1,7,3,2,2,,
libérer,ver,14,8,4,2,1,11,2,,,1,6,4,1,2,,
lier,ver,36,22,9,5,14,19,3,11,1,2,10,7,2,1,1,1
limiter,ver,19,9,10,,7,11,1,3,4,,5,6,,1,,
lire,ver,22,11,8,3,7,12,3,5,2,,5,5,2,1,1,1
livrer,ver,32,7,19,6,5,24,3,2,2,1,3,16,5,2,1,
loger,ver,8,3,3,2,1,3,4,,1,,1,,2,2,2,
lutter,ver,68,24,31,13,26,30,12,7,12,7,9,15,6,8,4,
maintenir,ver,24,8,11,5,4,17,3,,2,2,8,7,2,,2,1
maitriser,ver,18,7,8,3,10,6,2,5,4,1,2,2,2,,2,
maîtriser,ver,31,12,15,4,11,16,4,3,5,3,9,6,1,,4,
maltraiter,ver,5,2,2,1,,3,2,,,,1,1,1,1,1,
manger,ver,9,4,4,1,6,1,2,3,2,1,1,,,,2,
manifester,ver,12,3,2,7,10,1,1,3,2,5,,,1,,,1
manipuler,ver,6,4,2,,,4,2,,,,2,2,,2,,
manquer,ver,20,6,11,3,6,12,2,1,4,1,3,7,2,2,,
marcher,ver,26,10,8,8,11,12,3,5,2,4,5,3,4,,3,
marier,ver,8,1,6,1,2,4,2,1,1,,,4,,,1,1
marquer,ver,14,5,5,4,2,9,3,1,,1,3,3,3,1,2,
masquer,ver,8,1,5,2,,8,,,,,1,5,2,,,
menacer,ver,13,5,5,3,3,8,2,,,3,3,5,,2,,
mener,ver,89,29,30,30,31,45,13,8,6,17,17,17,11,4,7,2
mentir,ver,31,9,19,3,11,17,3,3,8,,5,10,2,1,1,1
méprendre,ver,5,1,4,,,5,,,,,1,4,,,,
mépriser,ver,11,3,6,2,2,9,,1,1,,2,5,2,,,
mériter,ver,42,15,18,9,19,20,3,6,7,6,7,11,2,2,,1
mesurer,ver,26,9,9,8,8,17,1,1,4,3,8,4,5,,1,
mettre,ver,380,126,182,72,179,151,50,65,81,33,48,73,30,13,28,9
meurtrir,ver,5,4,,1,1,4,,,,1,4,,,,,
miner,ver,8,2,4,2,1,7,,,,1,2,4,1,,,
minimiser,ver,6,2,2,2,4,2,,1,1,2,1,1,,,,
miser,ver,10,2,5,3,1,9,,1,,,1,5,3,,,
mobiliser,ver,11,4,6,1,5,6,,1,3,1,3,3,,,,
modifier,ver,7,4,3,,2,4,1,1,1,,3,1,,,1,
monder,ver,5,1,2,2,1,4,,,,1,1,2,1,,,
mondialiser,ver,6,1,4,1,,6,,,,,1,4,1,,,
monétiser,ver,5,,3,2,3,,2,,3,,,,,,,2
monnayer,ver,6,3,3,,5,1,,2,3,,1,,,,,
monter,ver,43,18,14,11,23,11,9,10,6,7,4,4,3,4,4,1
montrer,ver,47,21,14,12,10,37,,5,4,1,16,10,11,,,
moquer,ver,15,2,13,,5,6,4,,5,,1,5,,1,3,
mourir,ver,26,5,14,7,11,13,2,2,5,4,2,8,3,1,1,
multiplier,ver,39,20,14,5,12,23,4,7,2,3,11,10,2,2,2,
naître,ver,8,2,1,5,2,6,,,,2,2,1,3,,,
naturaliser,ver,6,2,4,,2,3,1,2,,,,3,,,1,
nécessiter,ver,14,6,6,2,6,3,5,4,2,,1,,2,1,4,
négocier,ver,14,8,3,3,5,8,1,2,3,,5,,3,1,,
nier,ver,19,5,8,6,7,12,,2,2,3,3,6,3,,,
nommer,ver,18,8,7,3,2,13,3,1,,1,6,7,,1,,2
noter,ver,5,2,3,,,5,,,,,2,3,,,,
nourrir,ver,16,4,10,2,2,13,1,,2,,3,8,2,1,,
obéir,ver,12,4,8,,3,9,,1,2,,3,6,,,,
obliger,ver,50,20,24,6,23,19,8,10,11,2,7,8,4,3,5,
obtenir,ver,46,16,22,8,24,17,5,8,11,5,8,7,2,,4,1
occuper,ver,11,4,5,2,6,4,1,1,4,1,2,1,1,1,,
occuper(s'),ver,7,4,3,,3,3,1,2,1,,1,2,,1,,
œuvrer,ver,5,,,5,3,2,,,,3,,,2,,,
offrir,ver,27,14,12,1,6,14,7,3,3,,6,7,1,5,2,
offrir(d'),ver,5,5,,,2,3,,2,,,3,,,,,
opposer,ver,16,5,7,4,6,7,3,2,1,3,3,3,1,,3,
opposer(s'),ver,8,,3,5,3,4,1,,2,1,,1,3,,,1
organiser,ver,63,25,21,17,25,29,9,7,8,10,14,11,4,4,2,3
organiser(d'),ver,6,4,1,1,2,3,1,2,,,2,1,,,,1
oser,ver,24,12,9,3,3,19,2,1,2,,10,6,3,1,1,
oubler(n'),ver,5,1,1,3,,5,,,,,1,1,3,,,
oublier,ver,105,29,61,15,11,89,5,1,4,6,27,53,9,1,4,
oublier(l'),ver,2,,2,,,2,,,,,,2,,,,
ouvrir,ver,63,32,15,16,24,29,10,12,5,7,16,10,3,4,,6
ouvrir(d'),ver,7,1,2,4,3,2,2,,2,1,1,,1,,,2
paraître,ver,26,14,9,3,19,7,,11,6,2,3,3,1,,,
parer,ver,12,6,3,3,9,,3,5,1,3,,,,1,2,
parfaire,ver,5,4,1,,,5,,,,,4,1,,,,
parler,ver,235,89,93,53,115,94,26,48,44,23,34,36,24,7,13,6
partager,ver,32,14,14,4,10,16,6,4,4,2,8,7,1,2,3,1
participer,ver,52,25,20,7,24,17,11,13,6,5,7,9,1,5,5,1
partir,ver,71,25,37,9,35,24,12,11,19,5,9,12,3,5,6,1
parvenir,ver,13,4,5,4,,13,,,,,4,5,4,,,
passer,ver,164,73,58,33,72,68,24,33,23,16,29,28,11,11,7,6
payer,ver,129,52,57,20,66,49,14,27,24,15,22,24,3,3,9,2
peiner,ver,6,4,2,,,6,,,,,4,2,,,,
pénaliser,ver,5,1,4,,,5,,,,,1,4,,,,
penser,ver,430,180,156,94,288,65,77,124,97,67,21,29,15,35,30,12
percevoir,ver,14,8,4,2,2,12,,,1,1,8,3,1,,,
perdre,ver,73,31,29,13,20,49,4,6,9,5,22,19,8,3,1,
permettre,ver,258,87,131,40,133,97,28,44,63,26,38,49,10,5,19,4
persister,ver,5,1,4,,2,1,2,1,1,,,1,,,2,
persuader,ver,5,3,1,1,2,2,1,2,,,1,,1,,1,
peser,ver,36,15,19,2,18,8,10,8,8,2,2,6,,5,5,
peupler,ver,11,4,4,3,3,6,2,,2,1,2,2,2,2,,
