date,Europe,France,avenir,caste,chef,civilisastion,classe,classe moyenne,communauté,culture,devoir,droit,délinquance,démocracie,etat,euro,famille,finance,fraternité,genre,identité,immigration,immigré,intérêt,islam,islamisme,islamiste,laïcité,liberté,migratoire,millénaire,mondialisation,morale,mot,musulman,nation,nationalisation,nationalite,parole,patriote,patriotique,patriotisme,patronat,peuple,politique,priorité,protection,préférence,religieux,républicain,souveraineté,syndicats,systeme,total words,travail,vote,égalité,élites,éternel,étranger
2006-10-22,8,15,0,0,5,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,1,0,0,0,3,8,1,0,1,0,1,4,0,0,4280,2,0,0,1,0,0
2006-10-29,0,16,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2946,0,0,1,0,0,0
2006-11-05,0,4,0,0,0,0,1,0,0,0,0,6,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,2,1,0,2,0,0,0,0,1,0,0,2,9,1,1,0,0,0,1,2,0,4644,3,0,0,0,0,0
2006-11-12,4,45,2,0,0,0,5,0,2,3,4,5,2,0,0,1,4,1,9,0,1,5,0,2,0,0,0,5,28,1,1,8,4,3,1,13,0,0,0,2,2,0,0,34,35,1,4,1,0,0,4,4,0,9603,22,1,1,1,0,0
2006-11-19,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,1662,0,0,1,0,0,0
2006-11-26,0,6,0,0,0,0,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,3,0,3265,5,0,1,1,0,0
2007-01-04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,281,1,0,0,0,0,0
2007-01-21,0,13,1,0,1,0,0,0,0,0,1,6,1,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,1,0,0,6,15,0,4,5,0,0,0,0,0,3667,2,0,0,0,0,3
2007-01-27,0,11,0,0,1,0,0,0,0,0,3,4,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,3,13,0,1,1,0,0,0,0,0,4521,4,0,0,0,0,0
2007-02-11,2,14,0,0,0,0,1,0,1,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,2,0,0,0,0,0,0,0,3,12,0,3,0,0,0,0,0,0,4540,5,1,0,0,0,0
