first,second,likelihood_ratio
hein,faut,12.26310432368297
hein,parce,11.77659080082513
hein,veux,10.538416192929104
continuer,faire,29.49768414391428
continuer,accueillir,29.483713405822286
vieilles,troupes,47.090737419343625
êtes,train,73.8366853604322
êtes,tombés,46.58965865820516
êtes,chômage,13.31239870044607
êtes,contre,7.397294078516655
êtes,plus,2.1865497885861176
jamais,cessé,48.66804875272598
jamais,cotisé,45.74892413910936
jamais,aucune,27.254413022502806
jamais,rien,22.879644446055295
jamais,tenues,22.25933695122124
jamais,rendu,20.89246525547181
jamais,menti,18.643960778577068
jamais,oublier,15.895097016527401
jamais,baisser,15.172702933290587
jamais,serai,14.634158022889693
jamais,tenu,14.432414708836529
jamais,autant,10.313850352503898
jamais,assez,8.375274084155873
jamais,situation,6.258559179257296
jamais,français,0.947389291719722
jamais,plus,0.2841893795148751
jamais,bien,0.028921461900457635
jamais,france,0.018279237700508988
élire,députés,47.68140830299845
élire,président,39.974182656320586
élire,candidat,20.851207931622547
libre,échange,361.01759529003493
libre,circulation,185.2562826628089
libre,échangisme,159.30669803084805
libre,faussée,52.74657744955021
libre,entreprise,30.814471455997
libre,choix,26.557976369174717
libre,france,1.4846755288557194
arriver,pouvoir,25.70323426480192
quelques,semaines,280.42817996188705
quelques,jours,233.02886104058686
quelques,mois,208.62035105193715
quelques,années,95.78924949863762
quelques,unes,55.713219596387944
quelques,dizaines,48.561655043882965
quelques,instants,45.25789339506239
quelques,mots,33.9525823644634
quelques,milliers,30.726101452564592
quelques,centaines,26.37993967149218
quelques,voix,21.174500094289993
quelques,temps,18.0088607904433
quelques,décennies,17.86358769516088
quelques,autres,11.192367712222778
quelques,grandes,9.61692522913005
quelques,millions,9.131707939154388
quelques,plus,0.13432011234428587
unité,nationale,83.26692211480147
unité,nation,31.63784137548845
unité,république,21.43871945216291
unité,france,6.307102000108018
site,campagne,28.915006503178677
cercle,vertueux,79.11105977817586
cercle,industrie,35.23376703278399
sûrement,sûrement,31.12596065144756
arrêter,immigration,15.189964918175527
proximité,idéologique,68.5749613697034
consistant,faire,24.49657322215159
souvent,occasion,24.913899312428192
souvent,ailleurs,8.719427532434498
souvent,plus,1.077179770633129
modèle,économique,129.5676663733699
modèle,ultralibéral,57.14006118565156
modèle,social,55.93736169707379
modèle,société,30.003820333866422
hérite,mérite,116.23133479958688
rappelle,téléspectateurs,32.17201147961195
rappelle,ailleurs,13.099785328089968
intérieur,millions,11.761525412256525
belles,âmes,84.60601365676587
assemblée,nationale,521.2139584285947
coûte,cher,30.189383747903744
coûte,milliards,28.84077436029998
coûte,plus,21.176681400781327
objectif,arriver,23.463421302119997
objectif,faire,19.519358754987465
objectif,faut,7.066208804999691
tournent,vers,35.17164680896158
guerres,mondiales,63.61572278975466
portent,responsabilité,72.64713372084503
arrêt,immédiat,46.31068477740431
arrêt,immigration,19.6306352105416
abord,pense,14.393488242471113
abord,vais,8.88823197583389
abord,compatriotes,8.065459987499475
abord,faut,7.6861358015708365
abord,faire,5.84012867774066
abord,français,2.841969042364606
abord,dire,0.5893603103567449
abord,plus,0.41068369723238707
abord,france,0.40437343021289207
abord,bien,0.0021246920462401897
différentes,catégories,37.51139412798574
oublions,jamais,48.31275721213185
prend,charge,44.76257308662123
prend,compte,42.64285547591913
prend,importance,27.977430494885397
prend,décisions,27.6495461259565
analyses,propositions,45.815534115556396
devise,liberté,25.51465372135966
celui,incarne,20.880830377101965
celui,dont,18.379373425477304
celui,tient,17.70376607270967
celui,consiste,17.405848209957693
celui,enfants,16.18761545351854
celui,immigration,14.982531679192352
celui,ministres,14.685932315848884
celui,vérité,14.484228361288423
celui,arrive,14.337043139774917
celui,porte,12.425298393514542
celui,front,11.937588959973144
celui,était,8.31026347261288
celui,président,7.730890881703692
celui,gouvernement,6.20589170351045
celui,liberté,5.276240295064269
celui,peuple,4.926627428923024
celui,france,2.7504647896766237
celui,aujourd,2.034026682113165
celui,plus,0.3668801135745303
celui,français,0.027145631202245668
croyez,soit,10.509844120460503
croyez,bien,10.447271195227914
éducation,nationale,258.82881413533175
éducation,civique,84.31376672102363
éducation,enfants,29.909003514439288
éducation,leurs,16.918453786535053
retraite,heures,31.17976917210962
brest,vladivostok,108.34194929510812
désignation,candidats,29.065131427105754
raisons,électoralistes,47.66855374684307
raisons,politiques,14.21174748315565
lieux,saints,56.82403523921741
gouvernements,successifs,155.7549814917023
gouvernements,succédés,40.27952823253974
gouvernements,gauche,20.404316627654595
gouvernements,français,9.142197951571706
novembre,2005,68.20498979689421
novembre,2011,63.874282883492555
régression,sociale,66.85535063723337
garantie,sécurité,25.176627167764494
désintégration,sociale,31.007218170436694
permettez,dire,109.60119013124864
permettez,rappeler,32.29794618526047
permettez,citer,31.15710510027262
permettez,nouvelle,17.830908851798622
permettez,abord,17.217421588218137
permettez,hein,16.38578548403575
permettez,monsieur,13.21225458818028
mégret,amis,30.12975939927813
mégret,avait,11.31050580105077
mégret,était,9.460823155571845
chefs,entreprise,49.29700663498277
chefs,bandes,36.45136627877914
chefs,entreprises,31.704647120106337
alliot,marie,103.79879144603888
empêcher,front,41.21284218379384
empêcher,gens,20.69271920005035
fraude,sociale,79.14153904451277
fraude,fiscale,46.93954195285872
mais,monsieur,200.72141694362872
mais,madame,107.78922149311347
mais,écoutez,102.58450157546682
mais,crois,47.32752672636372
mais,bien,43.067690371569185
mais,suis,41.8507160178654
mais,voudrais,28.73674045606417
mais,veux,27.247973067223214
mais,vais,25.33003164599432
mais,savez,22.792336000687477
mais,dites,22.759140212303034
mais,mais,21.70140449416345
mais,surtout,21.19747988922746
mais,faut,20.573211868620934
mais,plaisantez,20.205841872203024
mais,moque,18.792804931019983
mais,avez,17.564866945701795
mais,problème,17.151798687842494
mais,signale,16.30574354428229
mais,croyez,15.038320420866416
mais,effectivement,14.33217633114998
mais,règle,13.99484606731727
mais,répondu,13.482177777592312
mais,enfin,12.818382105814239
mais,regardez,12.178349051538753
mais,pire,11.639130067421089
mais,rien,11.243964336150405
mais,pose,9.74226374001066
mais,dieu,9.277871786884624
mais,attendez,8.55639511329194
mais,réalité,8.291668768971906
mais,ecoutez,7.926618663476572
mais,grâce,7.372606890925198
mais,revanche,7.372606890925198
mais,important,7.298421694244189
mais,évident,6.944486103620115
mais,peux,6.876889179125924
mais,égalité,6.370082304876286
mais,occurrence,6.194154499821404
mais,sens,6.064688413090043
mais,veut,5.8085485403089505
mais,existe,5.757560929249962
mais,exactement,5.555202331010578
mais,fais,5.457637868265941
mais,agit,4.87553539528867
mais,absolument,4.752686475604612
mais,sais,4.600262213593844
mais,venir,4.556395712928505
mais,voulez,4.443397136666112
mais,grands,4.153176200312021
mais,ministre,3.6197719191397306
mais,était,3.1465962748670604
mais,candidat,2.8917364563616976
mais,beaucoup,2.4647712126394508
mais,mêmes,2.2564500738870072
mais,abord,2.1560304494016753
mais,aujourd,2.000857423386078
mais,avons,1.9591502638961185
mais,histoire,1.9503124091220125
mais,chers,1.9187106440978159
mais,liberté,1.8506444516655387
mais,parce,1.5463828073530332
mais,nicolas,1.325656127198945
mais,français,1.265387887630622
mais,évidemment,1.1206694634619208
mais,après,1.0710480795351298
mais,dire,0.8730373286126127
mais,sera,0.7452854302738761
mais,pense,0.7350536881378757
mais,autres,0.5879839808437981
