first,second,third,likelihood_ratio
salaires,manuels,salaires,296.2055696292073
salaires,travailleurs,manuels,287.2009503895109
programme,front,national,19098.144425794257
présidé,infâme,évêque,294.52841637511517
dégradation,pouvoir,achat,2227.16807192567
elle,rencontre,chinon,182.63879960959665
elle,échappera,techniques,150.68736521794403
elle,croit,miraculeux,134.3239630822579
elle,reste,mois,79.6438759263899
hommes,politiques,gauche,817.2809475043991
hommes,politiques,français,741.9914836076532
hommes,femmes,gauche,733.230197920471
hommes,femmes,pays,723.3978827522354
hommes,état,doivent,123.70366510431937
oeuvre,libre,circulation,477.0592408914923
abattue,france,halal,138.86864658694913
conseil,général,corrèze,600.9592113828425
conseil,régional,nord,401.1244116375119
conseil,etat,nous,140.56595347126182
conseil,français,culte,126.01517669951913
déchirent,belles,dents,177.49608136748554
1200,milliards,euros,2437.1356075009962
effondrement,pouvoir,achat,2228.3710248925618
marche,vers,pouvoir,119.78368175538483
cours,dernières,années,830.5998512956542
sécurité,première,libertés,249.54134650933537
sécurité,français,rassemblement,74.2971856865816
instruire,éduquer,accroître,365.2906810417051
députés,front,national,19049.349111654563
celle,front,national,19026.29399878173
celle,etats,unis,2759.6817091227613
celle,peuple,français,2437.445114950374
verra,bien,verra,290.6924960475449
verra,bien,moment,271.1098707743511
entrer,union,européenne,4330.8940980382395
entrer,droits,produits,100.57994215604481
accès,fonction,publique,796.5685885596705
accès,logement,social,427.025901764542
accès,logement,emploi,226.26396903088903
henri,meurt,henri,203.22050016489104
henri,angleterre,proclamé,172.31060268346414
remercie,présence,conférence,158.57020989525978
dessous,seuil,pauvreté,295.191460525206
ennemi,avenir,furent,122.81467683014611
travailler,veulent,travailler,272.914242244708
travailler,plus,gagner,150.58217581782918
morale,publique,plus,442.7388947439263
morale,politique,france,56.67923921784204
ambassadeur,france,tunisie,110.56620825386452
réarmer,face,mondialisation,266.21528955888016
excusez,aller,secours,114.97239943226367
classes,moyennes,populaires,1308.6906965230032
classes,moyennes,descendent,1282.109618708378
classes,moyennes,peser,1249.504241379819
classes,populaires,classes,375.2269190671635
classes,populaires,moyennes,365.587497195266
regarder,réalité,face,120.73450881514262
accomplir,plus,prodigieux,190.29431390018937
cachot,sordide,jugée,245.37868312959245
disposant,toute,modification,131.83534419497096
viande,abattue,france,132.55196050287714
