first,second,third,likelihood_ratio
vous,voyez,mesdames,326.8543799897949
immigration,insécurité,chômage,398.127912184979
immigration,masse,france,335.46131659670937
immigration,tiers,mondiste,232.98214760160573
immigration,étrangère,massive,143.20201487321341
immigration,travail,immigration,120.11029447687426
immigration,temporaire,travail,101.31323262370668
lettre,jean,marie,1589.3850094233787
secours,libérer,france,108.0402024947677
présidence,république,jamais,501.3892882507216
présidence,française,union,177.79037526655296
père,mort,france,196.8514052238463
statut,fonction,publique,563.1993565964118
statut,juridique,social,192.39416770415988
bompard,bompard,bompard,239.77918743769243
fonds,intervention,ville,201.12013602607652
forces,nationales,action,115.14763950637878
mêmes,charges,fiscales,250.64387329273802
rouen,cage,ferrée,301.81390733424166
rouen,dernier,souffle,146.82146236633463
taille,gardée,soudards,265.6630990005552
abandons,trahisons,lâchetés,201.3344589192683
certain,nombre,gens,4211.029704484224
certain,nombre,sujets,4074.2953606963465
certain,nombre,choses,4021.537368199589
certain,nombre,autres,3979.904823408586
certain,nombre,qualités,3934.3974790060065
certain,nombre,mesures,3934.098942763283
certain,nombre,domaines,3931.299890143936
certain,nombre,problèmes,3930.0384155880865
certain,nombre,dirigeants,3926.2537099617784
certain,nombre,conditions,3923.7225540656063
certain,nombre,hommes,3918.711579872959
certain,nombre,français,3910.3515619931322
certain,nombre,pays,3907.8127147001223
savent,lire,écrire,411.26903776763527
dont,suis,objet,119.42075176499928
dont,fallait,affranchir,116.78279489449903
dont,suis,président,107.01144555114766
charge,financière,fiscale,143.63661842379304
histoire,humaine,elle,159.68476321818505
émeutes,novembre,2005,192.70503873679627
frontières,leurs,justes,100.42871878104194
république,vive,france,206.55625847216874
ecoutez,vais,dire,417.26855129521766
soit,milliards,euros,1030.7863317143447
soit,milliards,francs,490.11211271854586
celles,front,national,12823.877826139198
petit,pays,millions,61.75196610394538
reste,mois,vivre,90.93515387732873
deuxième,tour,élection,1422.6609205977102
deuxième,tour,élections,1403.9653512117743
deuxième,guerre,mondiale,572.1740570132321
deuxième,liste,élections,131.79167236994596
deuxième,liste,était,107.15362784510772
faibles,riches,puissants,146.73013310784208
autres,pays,européens,351.8400459453934
autres,pays,monde,183.00140087122293
élections,législatives,juin,724.0221894934427
élections,législatives,avons,696.5768396550268
élections,présidentielles,législatives,627.3852005738622
élections,européennes,juin,616.0744778369193
élections,présidentielles,crois,563.41090728445
victoire,front,national,12817.698881298873
famine,peste,ravagent,191.28377004609644
charles,devenu,restera,147.3125350314375
vite,elle,rencontre,122.36429286073201
harmonie,entre,nature,115.68292174688756
constitution,européenne,2005,732.5515041824517
constitution,vème,république,375.1290626717054
constitution,française,article,144.40100500650905
entreprises,souhaiteraient,travailler,122.62468749079588
congrès,front,national,12828.46131829998
sommes,campagne,électorale,1027.1739843463188
sommes,pauvres,nous,96.10237754815486
1422,henri,meurt,190.9786519978059
complice,forfaiture,quatre,155.77846646382318
nombre,électeurs,front,152.43187392659573
croissance,plus,faible,143.32898760543125
groupe,front,national,12824.721507703656
groupe,droites,européennes,349.06571995800675
actuelle,agriculteurs,termine,139.19574378552224
européen,2009,sera,99.23198013288155
gloire,immortelle,abandons,253.7842445245373
peter,mandelson,commissaire,303.67229388595433
rassemblement,forces,nationales,126.78333822814955
suis,quelque,sorte,3201.5402374883015
suis,candidat,présidence,418.05115763373203
suis,politique,française,410.5707452460757
suis,homme,politique,333.78237429788413
suis,pupille,nation,239.60484272301332
suis,député,européen,234.35826713927824
suis,modeste,compare,158.79195350414057
suis,homme,libre,150.01033942291753
suis,près,convaincu,111.07049437713177
